Apartment Name,Address,Rent,Features,Appliances,school_name_1,Grades_1,Rank_1,school_name_2,Grades_2,Rank_2,school_name_3,Grades_3,Rank_3,ZIP Code,City,BORO,Average Rent,If_Pets_Allowed
"41-41 43rd St #E7, Sunnyside, NY 11104","41-41 43rd St #E7, Sunnyside, NY 11104","$2,900/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",,,,,,,,,,,11104,Sunnyside,QUEENS,2900.0,Allowed
"85-21 Lefferts Blvd #C6, Kew Gardens, NY 11415","85-21 Lefferts Blvd #C6, Kew Gardens, NY 11415","$2,000/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,11415,Kew Gardens,QUEENS,2000.0,N/A
"74 Palmetto St #2F, Brooklyn, NY 11221","74 Palmetto St #2F, Brooklyn, NY 11221","$2,850/mo","ApartmentAvailable Tue Oct 15 2024-- One-time feesCats, dogs OKCentral airIn unit laundry-- Parking-- Heating",,,,,,,,,,,11221,Brooklyn,BROOKLYN,2850.0,Allowed
"15 Cooper St #1B, Brooklyn, NY 11207","15 Cooper St #1B, Brooklyn, NY 11207","$2,500/mo","ApartmentAvailable Fri Nov 1 2024-- One-time feesCats, dogs OKCentral airIn unit laundry + 1-- Parking-- Heating",,,,,,,,,,,11207,Brooklyn,BROOKLYN,2500.0,Allowed
"509 Van Buren St #3R, Brooklyn, NY 11221","509 Van Buren St #3R, Brooklyn, NY 11221","$2,500/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CShared laundry-- Parking-- Heating",,,,,,,,,,,11221,Brooklyn,BROOKLYN,2500.0,Allowed
"9745 Queens Blvd APT 1201, Rego Park, NY 11374","9745 Queens Blvd APT 1201, Rego Park, NY 11374","$2,945/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/C-- LaundryGarage parking-- Heating",,,,,,,,,,,11374,Rego Park,QUEENS,2945.0,Allowed
"2-26 50th Ave #3C, Long Island City, NY 11101","2-26 50th Ave #3C, Long Island City, NY 11101","$5,000/mo","ApartmentAvailable Now-- One-time feesCats, dogs OKCentral airIn unit laundry + 1Garage parking-- Heating",,,,,,,,,,,11101,Long Island City,QUEENS,5000.0,Allowed
"367 S 5th St #1D, Brooklyn, NY 11211","367 S 5th St #1D, Brooklyn, NY 11211","$2,499/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/C-- Laundry-- Parking-- Heating",,,,,,,,,,,11211,Brooklyn,BROOKLYN,2499.0,Allowed
"75 W End Ave #S15J, New York, NY 10023","75 W End Ave #S15J, New York, NY 10023","$4,750/mo","ApartmentAvailable Sat Oct 12 2024-- One-time feesCats, dogs OK-- A/CIn unit laundry + 1Garage parking-- Heating",,,,,,,,,,,10023,New York,MANHATTAN,4750.0,Allowed
"2816 41st St #1, Astoria, NY 11103","2816 41st St #1, Astoria, NY 11103","$3,650/mo",ApartmentAvailable Now-- One-time fees-- Pets-- A/C-- Laundry-- Parking-- Heating,,,,,,,,,,,11103,Astoria,QUEENS,3650.0,N/A
"217 Eckford St #402, Brooklyn, NY 11222","217 Eckford St #402, Brooklyn, NY 11222","$4,700/mo",ApartmentAvailable Tue Oct 15 2024-- One-time fees-- PetsCentral airShared laundryGarage parking-- Heating,,,,,,,,,,,11222,Brooklyn,BROOKLYN,4700.0,N/A
"240 Waverly Pl APT 23, New York, NY 10014","240 Waverly Pl APT 23, New York, NY 10014","$5,350/mo",ApartmentAvailable Now-- One-time feesNo pets-- A/CShared laundry-- Parking-- Heating,,,,,,,,,,,10014,New York,MANHATTAN,5350.0,Not Allowed
"550 10th Ave #1510, New York, NY 10018","550 10th Ave #1510, New York, NY 10018","$5,000/mo","ApartmentAvailable Now-- One-time feesCats, dogs OK-- A/CIn unit laundry + 1-- Parking-- Heating",,,,,,,,,,,10018,New York,MANHATTAN,5000.0,Allowed
